task_index,repetition,strategy,models_used,internals
112,1,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|codestral-latest|mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, codestral-latest, mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:meta-llama/Llama-3.1-8B-Instruct($0.0003/30258ms), respondent:codestral-latest($0.0010/11845ms), respondent:mistralai/ministral-14b-instruct-2512($0.0096/29901ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → codestral-latest → mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
112,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|mistralai/ministral-14b-instruct-2512|codestral-latest|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, mistralai/ministral-14b-instruct-2512, codestral-latest, kimi-k2-0905-preview] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:mistralai/ministral-14b-instruct-2512($0.0220/90250ms), respondent:mistralai/ministral-14b-instruct-2512($0.0149/29690ms), respondent:codestral-latest($0.0008/8731ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → mistralai/ministral-14b-instruct-2512 → codestral-latest → kimi-k2-0905-preview]"
116,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|codestral-latest|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, codestral-latest, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/1ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:Qwen/Qwen3-8B($0.0002/5077ms), respondent:codestral-latest($0.0002/2143ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → codestral-latest → phala/gpt-oss-120b]"
117,1,blind-debate,deepseek-v4-pro|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: deepseek-v4-pro, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, phala/gpt-oss-120b] [decider: deepseek-v4-pro] [subcalls: respondent:deepseek-v4-pro($0.4020/8318ms), respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-8B($0.0004/13360ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: deepseek-v4-pro → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → phala/gpt-oss-120b]"
117,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: openai/gpt-oss-120b] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:openai/gpt-oss-120b($0.0001/504ms), respondent:openai/gpt-oss-120b($0.0003/1054ms), respondent:openai/gpt-oss-120b($0.0040/4129ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → kimi-k2-0905-preview]"
118,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|mistralai/ministral-14b-instruct-2512|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, mistralai/ministral-14b-instruct-2512, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-8B($0.0003/10088ms), respondent:mistralai/ministral-14b-instruct-2512($0.0098/72928ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → mistralai/ministral-14b-instruct-2512 → phala/gpt-oss-120b]"
118,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: openai/gpt-oss-120b] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:openai/gpt-oss-120b($0.0001/581ms), respondent:openai/gpt-oss-120b($0.0004/1213ms), respondent:openai/gpt-oss-120b($0.0050/13241ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → kimi-k2-0905-preview]"
119,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|mistralai/ministral-14b-instruct-2512|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, mistralai/ministral-14b-instruct-2512, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/1ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:Qwen/Qwen3-8B($0.0001/3734ms), respondent:mistralai/ministral-14b-instruct-2512($0.0030/20407ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → mistralai/ministral-14b-instruct-2512 → phala/gpt-oss-120b]"
120,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-32B|openai/gpt-oss-120b|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-32B, openai/gpt-oss-120b, phala/gpt-oss-120b] [decider: Qwen/Qwen3-32B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-32B($0.0003/3888ms), respondent:openai/gpt-oss-120b($0.0002/702ms), adjudicator:phala/gpt-oss-120b($0.0000/1ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-32B → openai/gpt-oss-120b → phala/gpt-oss-120b]"
121,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|codestral-latest|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, codestral-latest, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/1ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:Qwen/Qwen3-8B($0.0002/5916ms), respondent:codestral-latest($0.0003/2571ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → codestral-latest → phala/gpt-oss-120b]"
121,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|mistral-large-latest|qwen3-max-preview|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, mistral-large-latest, qwen3-max-preview, kimi-k2-0905-preview] [decider: Qwen/Qwen3-8B] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-8B($0.0002/7544ms), respondent:mistral-large-latest($0.0029/7159ms), respondent:qwen3-max-preview($0.3195/6783ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → mistral-large-latest → qwen3-max-preview → kimi-k2-0905-preview]"
122,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-32B|openai/gpt-oss-120b|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-32B, openai/gpt-oss-120b, phala/gpt-oss-120b] [decider: Qwen/Qwen3-32B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-32B($0.0002/3508ms), respondent:openai/gpt-oss-120b($0.0004/1157ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-32B → openai/gpt-oss-120b → phala/gpt-oss-120b]"
123,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|deepseek-v4-pro|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, deepseek-v4-pro, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-8B($0.0002/7424ms), respondent:deepseek-v4-pro($0.3752/8544ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → deepseek-v4-pro → phala/gpt-oss-120b]"
123,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|Qwen/Qwen3-8B|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, Qwen/Qwen3-8B, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: mistral-large-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:mistral-large-latest($0.0027/3653ms), respondent:Qwen/Qwen3-8B($0.0002/6465ms), respondent:openai/gpt-oss-120b($0.0004/1467ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → Qwen/Qwen3-8B → openai/gpt-oss-120b → kimi-k2-0905-preview]"
124,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, phala/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:openai/gpt-oss-120b($0.0001/1258ms), respondent:openai/gpt-oss-120b($0.0003/1301ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → phala/gpt-oss-120b]"
125,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|Qwen/Qwen3-8B|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, Qwen/Qwen3-8B, phala/gpt-oss-120b] [decider: deepseek-v4-pro] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:deepseek-v4-pro($0.3985/7956ms), respondent:Qwen/Qwen3-8B($0.0002/6358ms), adjudicator:phala/gpt-oss-120b($0.0000/1ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → Qwen/Qwen3-8B → phala/gpt-oss-120b]"
125,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|qwen3-max-preview|Qwen/Qwen3-8B|mistral-large-latest|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, qwen3-max-preview, Qwen/Qwen3-8B, mistral-large-latest, kimi-k2-0905-preview] [decider: qwen3-max-preview] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:qwen3-max-preview($0.3412/6777ms), respondent:Qwen/Qwen3-8B($0.0002/6803ms), respondent:mistral-large-latest($0.0032/5576ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → qwen3-max-preview → Qwen/Qwen3-8B → mistral-large-latest → kimi-k2-0905-preview]"
82,1,clarification-first,phala/gpt-oss-120b|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: analyzer:phala/gpt-oss-120b($0.0000/0ms), primary:phala/gpt-oss-120b($0.0000/0ms), secondary:meta-llama/Llama-3.1-8B-Instruct($0.0000/8496ms)] [source: explicit] [chain: phala/gpt-oss-120b → meta-llama/Llama-3.1-8B-Instruct]"
82,1,clarification-first,phala/gpt-oss-120b|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: analyzer:phala/gpt-oss-120b($0.0000/0ms), primary:phala/gpt-oss-120b($0.0000/0ms), secondary:meta-llama/Llama-3.1-8B-Instruct($0.0000/3891ms)] [source: explicit] [chain: phala/gpt-oss-120b → meta-llama/Llama-3.1-8B-Instruct]"
82,1,clarification-first,phala/gpt-oss-120b|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, meta-llama/Llama-3.1-8B-Instruct] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: analyzer:phala/gpt-oss-120b($0.0000/0ms), primary:phala/gpt-oss-120b($0.0000/0ms), secondary:meta-llama/Llama-3.1-8B-Instruct($0.0000/3998ms)] [source: explicit] [chain: phala/gpt-oss-120b → meta-llama/Llama-3.1-8B-Instruct]"
82,2,clarification-first,kimi-k2-0905-preview|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: analyzer:kimi-k2-0905-preview($0.0000/0ms), primary:kimi-k2-0905-preview($0.0000/0ms), secondary:openai/gpt-oss-120b($0.0004/5109ms)] [source: explicit] [chain: kimi-k2-0905-preview → openai/gpt-oss-120b]"
0,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|deepseek-v4-pro|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, deepseek-v4-pro, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/1ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:Qwen/Qwen3-8B($0.0004/12383ms), voter:deepseek-v4-pro($0.9723/24070ms), coordinator:phala/qwen3.5-397b-a17b($0.0075/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → deepseek-v4-pro → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
0,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, phala/qwen3.5-397b-a17b] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0002/862ms), voter:openai/gpt-oss-120b($0.0010/4159ms), voter:openai/gpt-oss-120b($0.0093/10086ms), coordinator:phala/qwen3.5-397b-a17b($0.0078/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → phala/qwen3.5-397b-a17b] [aggregation: best_individual_fallback]"
1,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|Qwen/Qwen3-8B|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, Qwen/Qwen3-8B, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:deepseek-v4-pro($0.9417/22819ms), voter:Qwen/Qwen3-8B($0.0013/40902ms), coordinator:phala/qwen3.5-397b-a17b($0.0076/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → Qwen/Qwen3-8B → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
1,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|Qwen/Qwen3-8B|mistral-large-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, Qwen/Qwen3-8B, mistral-large-latest] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0014/5018ms), voter:Qwen/Qwen3-8B($0.0006/20414ms), voter:mistral-large-latest($0.0195/45029ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → Qwen/Qwen3-8B → mistral-large-latest] [aggregation: agreement_individual]"
2,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512] [decider: codestral-latest] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0010/12424ms), voter:mistralai/ministral-14b-instruct-2512($0.0136/40309ms), voter:mistralai/ministral-14b-instruct-2512($0.0176/47443ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512] [aggregation: synthesis]"
2,2,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0009/2873ms), voter:openai/gpt-oss-120b($0.0019/8439ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b] [aggregation: synthesis]"
6,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|Qwen/Qwen3-8B|deepseek-v4-pro|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, Qwen/Qwen3-8B, deepseek-v4-pro, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0005/2125ms), voter:Qwen/Qwen3-8B($0.0003/9161ms), voter:deepseek-v4-pro($1.4685/39247ms), coordinator:phala/qwen3.5-397b-a17b($0.0077/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → Qwen/Qwen3-8B → deepseek-v4-pro → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
6,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|openai/gpt-oss-120b|deepseek-v4-pro|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, openai/gpt-oss-120b, deepseek-v4-pro, phala/qwen3.5-397b-a17b] [decider: phala/qwen3.5-397b-a17b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0001/6418ms), voter:openai/gpt-oss-120b($0.0019/6864ms), voter:deepseek-v4-pro($1.5070/42274ms), coordinator:phala/qwen3.5-397b-a17b($0.0077/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → openai/gpt-oss-120b → deepseek-v4-pro → phala/qwen3.5-397b-a17b] [aggregation: synthesis]"
14,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistralai/mistral-large-3-675b-instruct-2512|meta-llama/Llama-3.1-8B-Instruct,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistralai/mistral-large-3-675b-instruct-2512, meta-llama/Llama-3.1-8B-Instruct] [decider: mistralai/mistral-large-3-675b-instruct-2512] [subcalls: voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:mistralai/mistral-large-3-675b-instruct-2512($0.0000/7477ms), voter:mistralai/mistral-large-3-675b-instruct-2512($0.0358/22751ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0003/33392ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistralai/mistral-large-3-675b-instruct-2512 → meta-llama/Llama-3.1-8B-Instruct] [aggregation: synthesis]"
14,2,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: voter:phala/gpt-oss-120b($0.0000/1ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:openai/gpt-oss-120b($0.0006/2976ms), voter:openai/gpt-oss-120b($0.0017/5854ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b] [aggregation: synthesis]"
15,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|deepseek-v4-pro|phala/qwen3.5-397b-a17b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, deepseek-v4-pro, phala/qwen3.5-397b-a17b] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: voter:phala/gpt-oss-120b($0.0000/1ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:meta-llama/Llama-3.1-8B-Instruct($0.0000/4091ms), voter:deepseek-v4-pro($0.6202/13647ms), coordinator:phala/qwen3.5-397b-a17b($0.0075/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → deepseek-v4-pro → phala/qwen3.5-397b-a17b] [aggregation: best_individual_fallback]"
